stem,association,high_freq,low_freq,ratio
اینجای,positive/low_proxy,5,14,2.8
کمپو,positive/low_proxy,12,39,3.25
آناناس,positive/low_proxy,19,42,2.210526315789474
کوچیکتره,positive/low_proxy,14,30,2.142857142857143
گرمیه,positive/low_proxy,6,14,2.3333333333333335
رزا,positive/low_proxy,5,42,8.4
نگهداره,positive/low_proxy,6,21,3.5
حسمو,positive/low_proxy,3,11,3.6666666666666665
تمیزه,positive/low_proxy,10,26,2.6
بیشترشون,positive/low_proxy,6,15,2.5
دیجیتال,positive/low_proxy,6,13,2.1666666666666665
پیشونی,positive/low_proxy,7,21,3.0
دوستیمون,positive/low_proxy,3,10,3.3333333333333335
خاه,positive/low_proxy,10,26,2.6
میانگ,positive/low_proxy,13,30,2.3076923076923075
پسته,positive/low_proxy,27,65,2.4074074074074074
مغزیج,positive/low_proxy,13,91,7.0
نشود,positive/low_proxy,5,11,2.2
علی‌اصغر,positive/low_proxy,9,32,3.5555555555555554
بلندش,positive/low_proxy,4,16,4.0
آیس,positive/low_proxy,5,26,5.2
میس,positive/low_proxy,8,24,3.0
قائله,positive/low_proxy,2,11,5.5
گرامی,positive/low_proxy,1,10,10.0
کام,positive/low_proxy,3,11,3.6666666666666665
تولید,positive/low_proxy,5,21,4.2
تمرین,positive/low_proxy,10,22,2.2
هله‌هوله,positive/low_proxy,12,30,2.5
سودا,positive/low_proxy,14,29,2.0714285714285716
ابپز,positive/low_proxy,14,36,2.5714285714285716
چاپ,positive/low_proxy,13,27,2.076923076923077
اصغر,positive/low_proxy,4,11,2.75
غرغره,positive/low_proxy,7,23,3.2857142857142856
میانه,positive/low_proxy,5,13,2.6
صفره,positive/low_proxy,19,39,2.0526315789473686
ولخرج,positive/low_proxy,15,31,2.066666666666667
پلاک,positive/low_proxy,24,52,2.1666666666666665
لیل,positive/low_proxy,7,16,2.2857142857142856
پاستا,positive/low_proxy,7,30,4.285714285714286
متاهلا,positive/low_proxy,4,15,3.75
درعوض,positive/low_proxy,2,14,7.0
پیشون,positive/low_proxy,25,62,2.48
ازشما,positive/low_proxy,2,13,6.5
بعضیاتون,positive/low_proxy,5,12,2.4
ازخدا,positive/low_proxy,2,11,5.5
راهی,positive/low_proxy,4,13,3.25
حموم,positive/low_proxy,9,20,2.2222222222222223
آرامش‌بخ,positive/low_proxy,4,10,2.5
گلدون,positive/low_proxy,9,23,2.5555555555555554
جوابه,positive/low_proxy,24,61,2.5416666666666665
دنا,positive/low_proxy,9,19,2.111111111111111
حسودن,positive/low_proxy,3,11,3.6666666666666665
ونی,positive/low_proxy,3,16,5.333333333333333
سرسر,positive/low_proxy,7,23,3.2857142857142856
نخی,positive/low_proxy,13,30,2.3076923076923075
هیل,positive/low_proxy,9,20,2.2222222222222223
نجیب,positive/low_proxy,6,19,3.1666666666666665
معایب,positive/low_proxy,7,16,2.2857142857142856
سرزنده,positive/low_proxy,4,12,3.0
قطعاا,positive/low_proxy,5,12,2.4
سریتا,positive/low_proxy,5,19,3.8
هلن,positive/low_proxy,7,25,3.5714285714285716
بهترن,positive/low_proxy,12,42,3.5
برعکسشو,positive/low_proxy,1,11,11.0
بخاه,positive/low_proxy,6,13,2.1666666666666665
بیرونو,positive/low_proxy,6,14,2.3333333333333335
نتی,positive/low_proxy,6,13,2.1666666666666665
صحیحو,positive/low_proxy,2,12,6.0
مرجع,positive/low_proxy,13,28,2.1538461538461537
کارهارو,positive/low_proxy,3,10,3.3333333333333335
پایتخ,positive/low_proxy,6,22,3.6666666666666665
حاضره,positive/low_proxy,14,30,2.142857142857143
کاشت,positive/low_proxy,6,18,3.0
زردآلو,positive/low_proxy,10,22,2.2
بزرگن,positive/low_proxy,8,17,2.125
فرمول,positive/low_proxy,13,28,2.1538461538461537
دستمزد,positive/low_proxy,9,24,2.6666666666666665
طفلیا,positive/low_proxy,4,10,2.5
باسه,positive/low_proxy,14,31,2.2142857142857144
چشماشو,positive/low_proxy,5,11,2.2
خلاقی,positive/low_proxy,3,13,4.333333333333333
ضرور,positive/low_proxy,31,63,2.032258064516129
رسپ,positive/low_proxy,1,18,18.0
