stem,association,high_freq,low_freq,ratio
هیئ,positive/low_proxy,2,12,6.0
کالاندولا,positive/low_proxy,2,13,6.5
فیروز,positive/low_proxy,2,19,9.5
عطار,positive/low_proxy,42,99,2.357142857142857
بچسبون,positive/low_proxy,2,17,8.5
حرامه,positive/low_proxy,8,17,2.125
شربت,positive/low_proxy,13,34,2.6153846153846154
خس,positive/low_proxy,5,11,2.2
وتو,positive/low_proxy,6,17,2.8333333333333335
غد,positive/low_proxy,3,10,3.3333333333333335
اموزش,positive/low_proxy,7,21,3.0
وتم,positive/low_proxy,0,14,inf
سرمیره,positive/low_proxy,3,10,3.3333333333333335
اکثرن,positive/low_proxy,7,20,2.857142857142857
وسقط,positive/low_proxy,3,10,3.3333333333333335
۹۴,positive/low_proxy,11,28,2.5454545454545454
شکل‌گرفته,positive/low_proxy,6,17,2.8333333333333335
باگوش,positive/low_proxy,4,10,2.5
مطلقا,positive/low_proxy,4,16,4.0
تاجای,positive/low_proxy,8,23,2.875
وسیب,positive/low_proxy,0,11,inf
زیباییه,positive/low_proxy,3,17,5.666666666666667
لپ‌تاپ,positive/low_proxy,6,18,3.0
آتلیه,positive/low_proxy,14,36,2.5714285714285716
گوشتیه,positive/low_proxy,1,14,14.0
بامداد,positive/low_proxy,4,22,5.5
هری,positive/low_proxy,3,16,5.333333333333333
جفتش,positive/low_proxy,4,11,2.75
۱۳۵,positive/low_proxy,2,10,5.0
دروازه,positive/low_proxy,3,14,4.666666666666667
خاکشیر,positive/low_proxy,20,65,3.25
دانه,positive/low_proxy,12,29,2.4166666666666665
ببرید,positive/low_proxy,5,15,3.0
درونگر,positive/low_proxy,6,13,2.1666666666666665
بیشعورن,positive/low_proxy,2,16,8.0
شعار,positive/low_proxy,10,22,2.2
نیلا,positive/low_proxy,2,28,14.0
فلورا,positive/low_proxy,4,21,5.25
والامن,positive/low_proxy,4,11,2.75
صدف,positive/low_proxy,2,10,5.0
تقلید,positive/low_proxy,3,11,3.6666666666666665
ماهور,positive/low_proxy,5,15,3.0
آبغوره,positive/low_proxy,11,24,2.1818181818181817
مبشه,positive/low_proxy,12,28,2.3333333333333335
ایلیا,positive/low_proxy,9,35,3.888888888888889
ارمیا,positive/low_proxy,4,14,3.5
پهنه,positive/low_proxy,6,13,2.1666666666666665
نظراتتون,positive/low_proxy,6,20,3.3333333333333335
احک,positive/low_proxy,5,13,2.6
چاقاله,positive/low_proxy,2,19,9.5
خوابالو,positive/low_proxy,6,15,2.5
احترامه,positive/low_proxy,3,10,3.3333333333333335
کرمانشاه,positive/low_proxy,9,25,2.7777777777777777
۱۷۵,positive/low_proxy,5,30,6.0
توت,positive/low_proxy,5,29,5.8
اوهو,positive/low_proxy,11,31,2.8181818181818183
آیدا,positive/low_proxy,1,18,18.0
راهشو,positive/low_proxy,4,12,3.0
موندگار,positive/low_proxy,8,20,2.5
کارن,positive/low_proxy,8,26,3.25
ثابته,positive/low_proxy,6,15,2.5
فیبر,positive/low_proxy,8,27,3.375
گرم‌کن,positive/low_proxy,11,45,4.090909090909091
فکرمیکنن,positive/low_proxy,2,11,5.5
پولمون,positive/low_proxy,8,17,2.125
پیجتو,positive/low_proxy,1,10,10.0
بدد,positive/low_proxy,5,11,2.2
توراه,positive/low_proxy,4,10,2.5
نچسب,positive/low_proxy,4,14,3.5
گارانت,positive/low_proxy,3,10,3.3333333333333335
مردانه,positive/low_proxy,8,19,2.375
هاک,positive/low_proxy,1,13,13.0
جفتشو,positive/low_proxy,6,14,2.3333333333333335
دمبل,positive/low_proxy,1,13,13.0
اهال,positive/low_proxy,4,10,2.5
ریمو,positive/low_proxy,5,23,4.6
دوربین,positive/low_proxy,6,13,2.1666666666666665
عمله,positive/low_proxy,11,26,2.3636363636363638
همکل,positive/low_proxy,2,10,5.0
ارزونه,positive/low_proxy,4,20,5.0
تجمل,positive/low_proxy,3,15,5.0
رقصیدن,positive/low_proxy,3,10,3.3333333333333335
دربیا,positive/low_proxy,1,11,11.0
دوماهگ,positive/low_proxy,9,24,2.6666666666666665
قلوه,positive/low_proxy,5,18,3.6
هم‌وزن,positive/low_proxy,10,21,2.1
سرخ‌شده,positive/low_proxy,8,26,3.25
ریش‌ری,positive/low_proxy,4,13,3.25
شای,positive/low_proxy,4,12,3.0
آراد,positive/low_proxy,8,28,3.5
ازرو,positive/low_proxy,8,24,3.0
می‌پسند,positive/low_proxy,11,46,4.181818181818182
پاسخگوی,positive/low_proxy,1,22,22.0
گیسو,positive/low_proxy,6,23,3.8333333333333335
حورا,positive/low_proxy,1,17,17.0
توتاپیک,positive/low_proxy,5,11,2.2
هواز,positive/low_proxy,6,15,2.5
الزهرا,positive/low_proxy,5,16,3.2
وزار,positive/low_proxy,12,26,2.1666666666666665
نوی,positive/low_proxy,8,19,2.375
حنانه,positive/low_proxy,0,10,inf
چشمشو,positive/low_proxy,2,11,5.5
پخش‌کن,positive/low_proxy,1,13,13.0
خیلیاشون,positive/low_proxy,6,27,4.5
بقیشو,positive/low_proxy,15,32,2.1333333333333333
بی‌اعتماد,positive/low_proxy,7,15,2.142857142857143
پرپش,positive/low_proxy,7,16,2.2857142857142856
صدتومن,positive/low_proxy,3,16,5.333333333333333
صعود,positive/low_proxy,1,11,11.0
انح,positive/low_proxy,10,28,2.8
دمدم,positive/low_proxy,5,11,2.2
کلوتریمازول,positive/low_proxy,10,24,2.4
دنبا,positive/low_proxy,6,16,2.6666666666666665
استیل,positive/low_proxy,9,39,4.333333333333333
آت,positive/low_proxy,5,12,2.4
ترشیج,positive/low_proxy,12,28,2.3333333333333335
ژنش,positive/low_proxy,4,11,2.75
مقصرن,positive/low_proxy,3,10,3.3333333333333335
عکسش,positive/low_proxy,1,11,11.0
ذهنی,positive/low_proxy,5,14,2.8
متقابل,positive/low_proxy,8,23,2.875
۱۷۰۰,positive/low_proxy,5,13,2.6
آمریکا,positive/low_proxy,10,28,2.8
روانی,positive/low_proxy,8,19,2.375
ترمیم‌کننده,positive/low_proxy,10,29,2.9
خواهرت,positive/low_proxy,10,28,2.8
اناناس,positive/low_proxy,10,32,3.2
۶۹,positive/low_proxy,6,15,2.5
تورا,positive/low_proxy,5,12,2.4
برودک,positive/low_proxy,4,16,4.0
بوقلمون,positive/low_proxy,3,15,5.0
اوپرا,positive/low_proxy,2,15,7.5
وماه,positive/low_proxy,2,11,5.5
کالر,positive/low_proxy,37,124,3.3513513513513513
شیرو,positive/low_proxy,5,19,3.8
شهاد,positive/low_proxy,6,14,2.3333333333333335
یارا,positive/low_proxy,3,36,12.0
گیرشون,positive/low_proxy,1,12,12.0
انتخابه,positive/low_proxy,1,12,12.0
نظرمن,positive/low_proxy,3,20,6.666666666666667
اسکراب,positive/low_proxy,6,17,2.8333333333333335
زبر,positive/low_proxy,7,15,2.142857142857143
شکرگذار,positive/low_proxy,3,10,3.3333333333333335
محتوا,positive/low_proxy,6,13,2.1666666666666665
بارهنگ,positive/low_proxy,4,13,3.25
یچیزای,positive/low_proxy,4,13,3.25
خودشیفته,positive/low_proxy,6,24,4.0
بشرط,positive/low_proxy,1,12,12.0
واصلا,positive/low_proxy,7,19,2.7142857142857144
فراوان,positive/low_proxy,2,10,5.0
ابجد,positive/low_proxy,5,17,3.4
مرغو,positive/low_proxy,7,18,2.5714285714285716
۵۴,positive/low_proxy,10,22,2.2
فنجون,positive/low_proxy,3,15,5.0
چتد,positive/low_proxy,1,11,11.0
سنیشون,positive/low_proxy,5,14,2.8
قبولی,positive/low_proxy,4,11,2.75
شریعت,positive/low_proxy,2,15,7.5
بهشته,positive/low_proxy,5,14,2.8
پیداس,positive/low_proxy,4,10,2.5
پاشویه,positive/low_proxy,3,10,3.3333333333333335
میگو,positive/low_proxy,13,35,2.6923076923076925
پوره,positive/low_proxy,4,13,3.25
اکیه,positive/low_proxy,3,10,3.3333333333333335
همچی,positive/low_proxy,6,15,2.5
بورس,positive/low_proxy,1,14,14.0
شهریار,positive/low_proxy,6,18,3.0
دایرک,positive/low_proxy,5,11,2.2
قزو,positive/low_proxy,0,10,inf
رومون,positive/low_proxy,4,12,3.0
روحیات,positive/low_proxy,4,10,2.5
رشده,positive/low_proxy,3,13,4.333333333333333
کم‌حج,positive/low_proxy,2,10,5.0
هرسه,positive/low_proxy,6,14,2.3333333333333335
سالشع,positive/low_proxy,7,15,2.142857142857143
دلباز,positive/low_proxy,7,17,2.4285714285714284
مفید,positive/low_proxy,9,23,2.5555555555555554
رلم,positive/low_proxy,5,14,2.8
میگردن,positive/low_proxy,10,25,2.5
فنی,positive/low_proxy,12,27,2.25
ثنا,positive/low_proxy,6,16,2.6666666666666665
بی‌روح,positive/low_proxy,4,12,3.0
هانا,positive/low_proxy,7,34,4.857142857142857
حباب,positive/low_proxy,15,32,2.1333333333333333
هورمونه,positive/low_proxy,10,21,2.1
الله‌اکبر,positive/low_proxy,5,11,2.2
چیدن,positive/low_proxy,4,11,2.75
ممنوعی,positive/low_proxy,6,14,2.3333333333333335
ماتح,positive/low_proxy,1,11,11.0
متعجب,positive/low_proxy,5,11,2.2
کثیفن,positive/low_proxy,2,11,5.5
هویچ,positive/low_proxy,5,11,2.2
قصاب,positive/low_proxy,2,11,5.5
محمدوآله,positive/low_proxy,0,28,inf
تورک,positive/low_proxy,4,11,2.75
ذغال,positive/low_proxy,4,12,3.0
صحن,positive/low_proxy,1,11,11.0
آپار,positive/low_proxy,2,10,5.0
۱۶۳,positive/low_proxy,4,15,3.75
رادو,positive/low_proxy,1,14,14.0
سرباردار,positive/low_proxy,6,13,2.1666666666666665
آوا,positive/low_proxy,10,35,3.5
نعناع,positive/low_proxy,12,28,2.3333333333333335
غیرانتفاع,positive/low_proxy,6,14,2.3333333333333335
مشروط,positive/low_proxy,4,16,4.0
مجان,positive/low_proxy,6,17,2.8333333333333335
ورت,positive/low_proxy,2,12,6.0
بنظرمن,positive/low_proxy,6,26,4.333333333333333
هاسک,positive/low_proxy,2,16,8.0
سرگرمیه,positive/low_proxy,4,10,2.5
استاندارد,positive/low_proxy,9,20,2.2222222222222223
آلا,positive/low_proxy,13,65,5.0
الارز,positive/low_proxy,2,11,5.5
حسنه,positive/low_proxy,3,12,4.0
اسمیه,positive/low_proxy,4,16,4.0
می‌آ,positive/low_proxy,4,12,3.0
برود,positive/low_proxy,4,15,3.75
قدبل,positive/low_proxy,5,14,2.8
اجاز,positive/low_proxy,4,11,2.75
تیم,positive/low_proxy,5,13,2.6
مهوا,positive/low_proxy,9,33,3.6666666666666665
تسبیح,positive/low_proxy,7,27,3.857142857142857
سردی,positive/low_proxy,5,11,2.2
نن,positive/low_proxy,3,17,5.666666666666667
بادام‌زمین,positive/low_proxy,4,23,5.75
سامیار,positive/low_proxy,2,16,8.0
روژ,positive/low_proxy,19,45,2.3684210526315788
۶۵۰,positive/low_proxy,3,12,4.0
یوقتا,positive/low_proxy,3,14,4.666666666666667
جوجه‌کباب,positive/low_proxy,5,14,2.8
غذاتو,positive/low_proxy,7,24,3.4285714285714284
لیموتر,positive/low_proxy,4,16,4.0
جذابن,positive/low_proxy,1,11,11.0
یاه,positive/low_proxy,6,16,2.6666666666666665
لیموشیر,positive/low_proxy,2,12,6.0
۳۵۰۰,positive/low_proxy,6,15,2.5
اهاا,positive/low_proxy,9,27,3.0
سیف,positive/low_proxy,2,15,7.5
نمکه,positive/low_proxy,4,11,2.75
پیداکن,positive/low_proxy,7,23,3.2857142857142856
الت,positive/low_proxy,3,13,4.333333333333333
تعریفشو,positive/low_proxy,10,25,2.5
اورا,positive/low_proxy,1,33,33.0
نجوم,positive/low_proxy,2,11,5.5
افراط,positive/low_proxy,16,38,2.375
فوم,positive/low_proxy,3,13,4.333333333333333
شنبلیله,positive/low_proxy,10,26,2.6
داو,positive/low_proxy,0,15,inf
نواح,positive/low_proxy,2,10,5.0
۱۵۸,positive/low_proxy,3,10,3.3333333333333335
خرابکار,positive/low_proxy,6,14,2.3333333333333335
کاس,positive/low_proxy,1,10,10.0
جلد,positive/low_proxy,6,13,2.1666666666666665
سپیده,positive/low_proxy,2,13,6.5
بخارا,positive/low_proxy,5,14,2.8
تنبله,positive/low_proxy,4,15,3.75
بی‌سواد,positive/low_proxy,12,27,2.25
کاسن,positive/low_proxy,17,73,4.294117647058823
یمقدار,positive/low_proxy,4,10,2.5
ملکا,positive/low_proxy,2,14,7.0
اهدای,positive/low_proxy,24,51,2.125
کالباس,positive/low_proxy,10,22,2.2
دگه,positive/low_proxy,9,24,2.6666666666666665
ابن‌سینا,positive/low_proxy,5,25,5.0
حلما,positive/low_proxy,5,35,7.0
دریای,positive/low_proxy,2,10,5.0
بیشتریا,positive/low_proxy,4,16,4.0
استعل,positive/low_proxy,6,14,2.3333333333333335
سدنا,positive/low_proxy,0,24,inf
معنیشو,positive/low_proxy,4,12,3.0
پرسپولیس,positive/low_proxy,2,10,5.0
اردبیل,positive/low_proxy,3,17,5.666666666666667
مقنعه,positive/low_proxy,2,10,5.0
اقل,positive/low_proxy,5,16,3.2
وازل,positive/low_proxy,7,20,2.857142857142857
اسام,positive/low_proxy,10,45,4.5
نادره,positive/low_proxy,6,13,2.1666666666666665
ترانه,positive/low_proxy,6,18,3.0
خزه,positive/low_proxy,5,15,3.0
حب,positive/low_proxy,3,10,3.3333333333333335
نکر,positive/low_proxy,5,12,2.4
۱۲۳,positive/low_proxy,5,11,2.2
زاس,positive/low_proxy,6,14,2.3333333333333335
یک‌دفعه,positive/low_proxy,8,17,2.125
الج,positive/low_proxy,1,27,27.0
کارگرد,positive/low_proxy,1,11,11.0
استفاده‌شده,positive/low_proxy,5,13,2.6
لارج,positive/low_proxy,0,10,inf
الهیه,positive/low_proxy,3,10,3.3333333333333335
معنای,positive/low_proxy,3,12,4.0
استیک,positive/low_proxy,3,10,3.3333333333333335
کرل,positive/low_proxy,6,13,2.1666666666666665
ارزشه,positive/low_proxy,5,11,2.2
کیفیت,positive/low_proxy,9,21,2.3333333333333335
کانسیلر,positive/low_proxy,3,10,3.3333333333333335
مخمل,positive/low_proxy,4,10,2.5
امواج,positive/low_proxy,8,18,2.25
فیشیال,positive/low_proxy,5,15,3.0
اماما,positive/low_proxy,4,10,2.5
مارال,positive/low_proxy,3,13,4.333333333333333
دوستتون,positive/low_proxy,11,27,2.4545454545454546
میزاشتن,positive/low_proxy,8,17,2.125
سفال,positive/low_proxy,4,10,2.5
ملاکه,positive/low_proxy,3,10,3.3333333333333335
نصاب,positive/low_proxy,4,11,2.75
اپلیکیشن,positive/low_proxy,14,32,2.2857142857142856
غزل,positive/low_proxy,4,12,3.0
تستسترون,positive/low_proxy,3,11,3.6666666666666665
تارو,positive/low_proxy,4,11,2.75
آرگ,positive/low_proxy,2,11,5.5
سفارش,positive/low_proxy,4,10,2.5
توسای,positive/low_proxy,4,11,2.75
سالس,positive/low_proxy,3,11,3.6666666666666665
نل,positive/low_proxy,1,10,10.0
گرونیه,positive/low_proxy,6,13,2.1666666666666665
بچرخه,positive/low_proxy,14,39,2.7857142857142856
چرون,positive/low_proxy,5,11,2.2
یسنا,positive/low_proxy,8,22,2.75
فامیلی,positive/low_proxy,6,14,2.3333333333333335
بوشهر,positive/low_proxy,0,13,inf
نوتروژینا,positive/low_proxy,1,13,13.0
برع,positive/low_proxy,7,16,2.2857142857142856
مرسانا,positive/low_proxy,1,11,11.0
طالع,positive/low_proxy,5,18,3.6
ضریح,positive/low_proxy,6,22,3.6666666666666665
گلس,positive/low_proxy,1,13,13.0
لجم,positive/low_proxy,5,17,3.4
سیکلوژس,positive/low_proxy,5,13,2.6
حج,positive/low_proxy,6,14,2.3333333333333335
پویا,positive/low_proxy,4,15,3.75
وهزار,positive/low_proxy,4,10,2.5
عمرشون,positive/low_proxy,4,13,3.25
بنی,positive/low_proxy,7,25,3.5714285714285716
رزاق,positive/low_proxy,4,10,2.5
فلسف,positive/low_proxy,3,10,3.3333333333333335
شرکت,positive/low_proxy,15,35,2.3333333333333335
نرن,positive/low_proxy,5,14,2.8
دنیااومده,positive/low_proxy,4,10,2.5
فاقد,positive/low_proxy,10,21,2.1
رویال,positive/low_proxy,5,14,2.8
۸۳,positive/low_proxy,4,14,3.5
بهترینه,positive/low_proxy,10,24,2.4
کوال,positive/low_proxy,3,16,5.333333333333333
عقاید,positive/low_proxy,3,10,3.3333333333333335
تجربیات,positive/low_proxy,4,13,3.25
پروژه,positive/low_proxy,7,25,3.5714285714285716
بلوچ,positive/low_proxy,4,12,3.0
مشارک,positive/low_proxy,8,33,4.125
اجتماعیه,positive/low_proxy,5,12,2.4
یکجور,positive/low_proxy,3,11,3.6666666666666665
پولک,positive/low_proxy,5,11,2.2
یوگ,positive/low_proxy,3,12,4.0
مخلوط‌کن,positive/low_proxy,8,24,3.0
تکراریه,positive/low_proxy,2,13,6.5
صندوق,positive/low_proxy,7,17,2.4285714285714284
وشیرین,positive/low_proxy,5,13,2.6
زولبیا,positive/low_proxy,13,29,2.230769230769231
دوستیمو,positive/low_proxy,9,23,2.5555555555555554
غدا,positive/low_proxy,5,16,3.2
نامرتب,positive/low_proxy,4,15,3.75
آنیسا,positive/low_proxy,0,13,inf
برعکسش,positive/low_proxy,3,10,3.3333333333333335
تونر,positive/low_proxy,6,30,5.0
تناژ,positive/low_proxy,4,13,3.25
شب‌ادرار,positive/low_proxy,8,19,2.375
سیاهدونه,positive/low_proxy,11,33,3.0
خطرداره,positive/low_proxy,4,11,2.75
کتابخانه,positive/low_proxy,3,10,3.3333333333333335
منسج,positive/low_proxy,0,11,inf
کارمیکنه,positive/low_proxy,5,12,2.4
بابلیس,positive/low_proxy,1,10,10.0
کم‌مصرف,positive/low_proxy,2,12,6.0
مغرب,positive/low_proxy,11,61,5.545454545454546
ببعد,positive/low_proxy,9,25,2.7777777777777777
بچه‌گانه,positive/low_proxy,4,11,2.75
دلسا,positive/low_proxy,2,11,5.5
بادکتر,positive/low_proxy,2,11,5.5
ملیکا,positive/low_proxy,4,16,4.0
دلسوزه,positive/low_proxy,4,10,2.5
توکه,positive/low_proxy,6,16,2.6666666666666665
چیبگ,positive/low_proxy,3,10,3.3333333333333335
لاکتوف,positive/low_proxy,3,10,3.3333333333333335
سویق,positive/low_proxy,6,23,3.8333333333333335
رتینول,positive/low_proxy,1,12,12.0
کلاژن,positive/low_proxy,5,12,2.4
پاستوریزه,positive/low_proxy,12,27,2.25
کاله,positive/low_proxy,1,10,10.0
اعتدال,positive/low_proxy,4,17,4.25
دوکیلو,positive/low_proxy,6,18,3.0
قرصشو,positive/low_proxy,8,17,2.125
مابق,positive/low_proxy,6,13,2.1666666666666665
حجام,positive/low_proxy,6,20,3.3333333333333335
لبش,positive/low_proxy,5,11,2.2
اولیو,positive/low_proxy,4,10,2.5
می‌نویسن,positive/low_proxy,4,10,2.5
خرافات,positive/low_proxy,3,15,5.0
نمیرسن,positive/low_proxy,3,13,4.333333333333333
ثابت‌شده,positive/low_proxy,5,20,4.0
سکر,positive/low_proxy,3,12,4.0
هایلای,positive/low_proxy,9,19,2.111111111111111
نمیشوره,positive/low_proxy,2,10,5.0
دهانشویه,positive/low_proxy,1,17,17.0
نمیرسونه,positive/low_proxy,4,12,3.0
خرجا,positive/low_proxy,4,10,2.5
تسلط,positive/low_proxy,1,12,12.0
آپلود,positive/low_proxy,5,17,3.4
جوشانده,positive/low_proxy,2,11,5.5
مرموز,positive/low_proxy,2,10,5.0
قزص,positive/low_proxy,4,11,2.75
وتهوع,positive/low_proxy,1,10,10.0
خلا,positive/low_proxy,4,10,2.5
پوستو,positive/low_proxy,4,12,3.0
فیتنس,positive/low_proxy,3,10,3.3333333333333335
چیزیشون,positive/low_proxy,2,12,6.0
جوشونده,positive/low_proxy,12,25,2.0833333333333335
لیلا,positive/low_proxy,9,32,3.5555555555555554
چهارروز,positive/low_proxy,4,11,2.75
مرکب,positive/low_proxy,4,10,2.5
الانو,positive/low_proxy,4,11,2.75
تاثییر,positive/low_proxy,4,10,2.5
آبگر,positive/low_proxy,3,13,4.333333333333333
کلیک,positive/low_proxy,3,11,3.6666666666666665
اوا,positive/low_proxy,6,13,2.1666666666666665
تراش,positive/low_proxy,4,13,3.25
نیی,positive/low_proxy,4,11,2.75
۳۸۰,positive/low_proxy,4,10,2.5
ببینت,positive/low_proxy,4,11,2.75
نمی‌موند,positive/low_proxy,4,10,2.5
سرلاک,positive/low_proxy,2,15,7.5
کفای,positive/low_proxy,5,11,2.2
قاجار,positive/low_proxy,3,10,3.3333333333333335
جیوه,positive/low_proxy,9,25,2.7777777777777777
دایار,positive/low_proxy,1,10,10.0
افرا,positive/low_proxy,2,11,5.5
هانیه,positive/low_proxy,4,16,4.0
معادل,positive/low_proxy,6,13,2.1666666666666665
مردگ,positive/low_proxy,2,12,6.0
۱۴۶,positive/low_proxy,1,11,11.0
نلا,positive/low_proxy,2,11,5.5
فرود,positive/low_proxy,2,10,5.0
سورنا,positive/low_proxy,1,11,11.0
بی‌ضرر,positive/low_proxy,1,15,15.0
احراز,positive/low_proxy,2,10,5.0
هوله,positive/low_proxy,5,12,2.4
بالامیار,positive/low_proxy,4,10,2.5
موظف,positive/low_proxy,5,11,2.2
مختار,positive/low_proxy,6,15,2.5
ضحی,positive/low_proxy,1,23,23.0
بینیه,positive/low_proxy,5,11,2.2
ستیا,positive/low_proxy,0,10,inf
طیف,positive/low_proxy,1,14,14.0
کارتیر,positive/low_proxy,4,10,2.5
دقیقشو,positive/low_proxy,4,12,3.0
فککن,positive/low_proxy,4,10,2.5
ضرره,positive/low_proxy,9,25,2.7777777777777777
تراکن,positive/low_proxy,1,10,10.0
ملیتا,positive/low_proxy,3,12,4.0
درمانس,positive/low_proxy,0,14,inf
کدی,positive/low_proxy,1,10,10.0
ارده‌شیره,positive/low_proxy,1,11,11.0
بلیچینگ,positive/low_proxy,1,13,13.0
اسنوا,positive/low_proxy,3,12,4.0
رژگونه,positive/low_proxy,3,10,3.3333333333333335
بباف,positive/low_proxy,6,13,2.1666666666666665
بیوت,positive/low_proxy,5,13,2.6
همرنگ,positive/low_proxy,5,12,2.4
کرمان,positive/low_proxy,2,15,7.5
انا,positive/low_proxy,5,11,2.2
لیا,positive/low_proxy,5,26,5.2
کبو,positive/low_proxy,3,10,3.3333333333333335
ملور,positive/low_proxy,3,15,5.0
بیکارن,positive/low_proxy,5,11,2.2
اسکار,positive/low_proxy,2,14,7.0
راحیل,positive/low_proxy,0,11,inf
آلاء,positive/low_proxy,2,10,5.0
آرت,positive/low_proxy,2,14,7.0
بااب,positive/low_proxy,1,10,10.0
فروفور,positive/low_proxy,5,15,3.0
تاثیرشو,positive/low_proxy,6,15,2.5
شاهنامه,positive/low_proxy,4,11,2.75
کالابرگ,positive/low_proxy,5,11,2.2
همینای,positive/low_proxy,2,10,5.0
نیم‌تنه,positive/low_proxy,0,10,inf
باوا,positive/low_proxy,4,13,3.25
روگ,positive/low_proxy,7,18,2.5714285714285716
کارکرده,positive/low_proxy,4,10,2.5
رنگا,positive/low_proxy,4,12,3.0
فالوور,positive/low_proxy,1,11,11.0
بفرستد,positive/low_proxy,1,14,14.0
آمرز,positive/low_proxy,1,14,14.0
ملحق,positive/low_proxy,1,15,15.0
فاطمة,positive/low_proxy,1,15,15.0
المستودع,positive/low_proxy,0,20,inf
احاط,positive/low_proxy,0,20,inf
علمک,positive/low_proxy,1,20,20.0
فضیل,positive/low_proxy,1,13,13.0
السر,positive/low_proxy,0,15,inf
لطفاهر,positive/low_proxy,0,10,inf
۱۳۷۳,positive/low_proxy,2,14,7.0
فاعل,positive/low_proxy,3,13,4.333333333333333
موجوده,positive/low_proxy,1,10,10.0
سیم‌کار,positive/low_proxy,4,16,4.0
ویبره,positive/low_proxy,5,11,2.2
آرس,positive/low_proxy,0,10,inf
هیستام,positive/low_proxy,1,10,10.0
نجمیه,positive/low_proxy,3,10,3.3333333333333335
