candidate,feature_profile,validation_mae,validation_rmse,validation_pearson,threshold_status,feasible_threshold_count,threshold_low_moderate,threshold_moderate_high,threshold_high_very_high,validation_accuracy,validation_macro_f1,validation_low_recall,validation_moderate_recall,validation_high_recall,validation_very_high_recall,validation_low_precision,validation_moderate_precision,validation_high_precision,validation_very_high_precision,selected
hybrid_catboost_rmse_depth3,hybrid,0.8347571273981981,1.1335653634247302,0.8576568926916365,feasible,4485,3.0954385027019997,4.905160815295,6.4621351159455,0.7566371681415929,0.6716789843118596,0.8451178451178452,0.582089552238806,0.5238095238095238,0.76,0.9194139194139194,0.38235294117647056,0.6226415094339622,0.7916666666666666,True
hybrid_catboost_rmse_depth4,hybrid,0.8351598316158064,1.1334837463089031,0.8571651125595621,feasible,2222,2.59705997095,4.534750269885,6.411442540164501,0.7234513274336283,0.6533171163202123,0.7777777777777778,0.5522388059701493,0.6349206349206349,0.76,0.9506172839506173,0.3274336283185841,0.5714285714285714,0.7307692307692307,False
weighted_blend_member2_0.80,scalar,0.8421897126808899,1.1255432859273549,0.8645152970474109,feasible,4750,3.0686726735855,4.649734436666,6.3870635254745,0.7654867256637168,0.6745150497378402,0.8451178451178452,0.5671641791044776,0.5873015873015873,0.8,0.9365671641791045,0.40425531914893614,0.6065573770491803,0.6896551724137931,False
weighted_blend_member2_0.95,scalar,0.8176275395311374,1.1340442855469453,0.862291811420718,feasible,9682,2.9590153055125,4.8193073090175,6.7063542475975,0.7632743362831859,0.6716688433577789,0.8417508417508418,0.582089552238806,0.5714285714285714,0.8,0.9433962264150944,0.4020618556701031,0.5901639344262295,0.6896551724137931,False
member2_only,scalar,0.8145414264913142,1.144482086735168,0.8604639669447451,feasible,10873,3.1724508,4.8862687000000005,6.7575875,0.7721238938053098,0.66535547087208,0.8754208754208754,0.5223880597014925,0.5396825396825397,0.8,0.931899641577061,0.4117647058823529,0.576271186440678,0.6896551724137931,False
weighted_blend_member2_1.00,scalar,0.8145414264913142,1.144482086735168,0.8604639669447453,feasible,10873,3.1724508,4.8862687000000005,6.7575875,0.7721238938053098,0.66535547087208,0.8754208754208754,0.5223880597014925,0.5396825396825397,0.8,0.931899641577061,0.4117647058823529,0.576271186440678,0.6896551724137931,False
scalar_catboost_depth3,scalar,0.822554524317235,1.1285377730488841,0.8582765209120415,feasible,4675,3.027014736179,4.7471703984525,6.2130538929555,0.7610619469026548,0.6662460604507253,0.8417508417508418,0.6119402985074627,0.5396825396825397,0.76,0.9363295880149812,0.4019607843137255,0.6181818181818182,0.6785714285714286,False
weighted_blend_member2_0.90,scalar,0.8225488344856182,1.127340300246968,0.8636285632627289,feasible,7864,3.2002254497519997,4.7661347180345,6.6371606951945,0.7743362831858407,0.6638886945965357,0.8787878787878788,0.5074626865671642,0.5714285714285714,0.76,0.9288256227758007,0.41975308641975306,0.5806451612903226,0.6785714285714286,False
hybrid_catboost_mae_depth4,hybrid,0.7349854370410147,1.099060972761879,0.8640753327410309,feasible,839,2.616444457025,4.2511378840645,6.132085197497499,0.7411504424778761,0.6344547507414198,0.8417508417508418,0.5074626865671642,0.5079365079365079,0.76,0.9328358208955224,0.35789473684210527,0.5245901639344263,0.6785714285714286,False
weighted_blend_member2_0.85,scalar,0.8315639321717567,1.1244525240451035,0.8644232056481926,feasible,5494,3.1673853468375,4.680987673215,6.413630659533,0.7743362831858407,0.676845877825512,0.8653198653198653,0.5223880597014925,0.5873015873015873,0.84,0.9311594202898551,0.4166666666666667,0.6065573770491803,0.6774193548387096,False
weighted_blend_member2_0.75,scalar,0.8556216775155506,1.130622467996945,0.8638377989279539,feasible,2373,3.1821903544390002,4.630566711993,6.31831400814,0.7610619469026548,0.6486957435385021,0.8619528619528619,0.5074626865671642,0.5555555555555556,0.76,0.927536231884058,0.40476190476190477,0.5645161290322581,0.6333333333333333,False
hybrid_catboost_rmse_depth5,hybrid,0.8317395885895583,1.128154047355203,0.8587652647599364,feasible,1070,2.837470806364,4.5896711705305,6.360871078039,0.7278761061946902,0.6289727783986067,0.8114478114478114,0.5074626865671642,0.5555555555555556,0.76,0.9341085271317829,0.3434343434343434,0.5384615384615384,0.6333333333333333,False
scalar_catboost_depth2,scalar,0.8275238488448827,1.1304824317298294,0.8580898641677992,feasible,499,2.984240879432,4.4917297403835,6.1708171829505005,0.7389380530973452,0.6215707171803575,0.835016835016835,0.5223880597014925,0.5079365079365079,0.76,0.9393939393939394,0.38461538461538464,0.5,0.5757575757575758,False
linear_scalar,scalar,0.8416378015365047,1.1231765739483461,0.8628649037927358,feasible,166,2.804282604065,4.376811893387,6.240545288353,0.7168141592920354,0.6054429610968025,0.8013468013468014,0.5223880597014925,0.5079365079365079,0.76,0.9482071713147411,0.35714285714285715,0.463768115942029,0.5588235294117647,False
