t3,very_high_precision,very_high_recall,high_recall
5.0,0.3287671232876712,0.96,0.047619047619047616
5.0165153537105285,0.3333333333333333,0.96,0.06349206349206349
5.033030707421057,0.3333333333333333,0.96,0.06349206349206349
5.049546061131586,0.3333333333333333,0.96,0.06349206349206349
5.066061414842115,0.3380281690140845,0.96,0.07936507936507936
5.082576768552643,0.34285714285714286,0.96,0.07936507936507936
5.099092122263172,0.34285714285714286,0.96,0.07936507936507936
5.1156074759737,0.34782608695652173,0.96,0.09523809523809523
5.132122829684229,0.34782608695652173,0.96,0.09523809523809523
5.148638183394758,0.34782608695652173,0.96,0.09523809523809523
5.165153537105287,0.36363636363636365,0.96,0.1111111111111111
5.181668890815815,0.36363636363636365,0.96,0.1111111111111111
5.1981842445263435,0.36363636363636365,0.96,0.1111111111111111
5.214699598236872,0.36363636363636365,0.96,0.1111111111111111
5.2312149519474005,0.36363636363636365,0.96,0.1111111111111111
5.24773030565793,0.36363636363636365,0.96,0.1111111111111111
5.264245659368458,0.36923076923076925,0.96,0.12698412698412698
5.280761013078987,0.375,0.96,0.14285714285714285
5.297276366789515,0.375,0.96,0.14285714285714285
5.313791720500044,0.38095238095238093,0.96,0.15873015873015872
5.330307074210573,0.3870967741935484,0.96,0.15873015873015872
5.346822427921102,0.3870967741935484,0.96,0.15873015873015872
5.36333778163163,0.39344262295081966,0.96,0.15873015873015872
5.379853135342159,0.39344262295081966,0.96,0.15873015873015872
5.396368489052687,0.39344262295081966,0.96,0.15873015873015872
5.412883842763216,0.4067796610169492,0.96,0.15873015873015872
5.429399196473745,0.4067796610169492,0.96,0.15873015873015872
5.445914550184273,0.40350877192982454,0.92,0.1746031746031746
5.462429903894802,0.41818181818181815,0.92,0.19047619047619047
5.47894525760533,0.42592592592592593,0.92,0.19047619047619047
5.495460611315859,0.45098039215686275,0.92,0.23809523809523808
5.511975965026388,0.45098039215686275,0.92,0.23809523809523808
5.528491318736917,0.46,0.92,0.25396825396825395
5.545006672447445,0.46,0.92,0.25396825396825395
5.561522026157974,0.46,0.92,0.25396825396825395
5.578037379868502,0.4489795918367347,0.88,0.25396825396825395
5.594552733579031,0.4489795918367347,0.88,0.25396825396825395
5.61106808728956,0.4489795918367347,0.88,0.25396825396825395
5.6275834410000884,0.4489795918367347,0.88,0.25396825396825395
5.644098794710617,0.4489795918367347,0.88,0.25396825396825395
5.660614148421145,0.4489795918367347,0.88,0.25396825396825395
5.677129502131674,0.4489795918367347,0.88,0.25396825396825395
5.693644855842203,0.4489795918367347,0.88,0.25396825396825395
5.710160209552732,0.4489795918367347,0.88,0.25396825396825395
5.72667556326326,0.4489795918367347,0.88,0.25396825396825395
5.743190916973789,0.4489795918367347,0.88,0.25396825396825395
5.759706270684317,0.4489795918367347,0.88,0.25396825396825395
5.7762216243948465,0.4489795918367347,0.88,0.25396825396825395
5.792736978105375,0.4489795918367347,0.88,0.25396825396825395
5.8092523318159035,0.4583333333333333,0.88,0.2698412698412698
5.825767685526432,0.45652173913043476,0.84,0.2857142857142857
5.8422830392369605,0.45652173913043476,0.84,0.2857142857142857
5.858798392947489,0.4666666666666667,0.84,0.30158730158730157
5.875313746658017,0.4883720930232558,0.84,0.31746031746031744
5.891829100368547,0.4883720930232558,0.84,0.31746031746031744
5.908344454079075,0.4883720930232558,0.84,0.31746031746031744
5.924859807789604,0.5,0.84,0.3333333333333333
5.941375161500132,0.5,0.8,0.3333333333333333
5.957890515210661,0.5,0.8,0.3333333333333333
5.97440586892119,0.5128205128205128,0.8,0.3492063492063492
5.990921222631719,0.5128205128205128,0.8,0.3492063492063492
6.007436576342247,0.5128205128205128,0.8,0.3492063492063492
6.0239519300527755,0.5263157894736842,0.8,0.3492063492063492
6.040467283763304,0.5135135135135135,0.76,0.3492063492063492
6.056982637473833,0.5135135135135135,0.76,0.3492063492063492
6.073497991184362,0.5277777777777778,0.76,0.3492063492063492
6.09001334489489,0.5428571428571428,0.76,0.36507936507936506
6.106528698605419,0.5428571428571428,0.76,0.36507936507936506
6.123044052315947,0.5428571428571428,0.76,0.36507936507936506
6.139559406026477,0.5428571428571428,0.76,0.36507936507936506
6.156074759737004,0.5428571428571428,0.76,0.36507936507936506
6.172590113447534,0.5428571428571428,0.76,0.36507936507936506
6.189105467158062,0.5588235294117647,0.76,0.38095238095238093
6.205620820868591,0.5588235294117647,0.76,0.38095238095238093
6.222136174579119,0.5588235294117647,0.76,0.38095238095238093
6.2386515282896475,0.5588235294117647,0.76,0.38095238095238093
6.255166882000177,0.5757575757575758,0.76,0.3968253968253968
6.271682235710705,0.5757575757575758,0.76,0.3968253968253968
6.288197589421234,0.5757575757575758,0.76,0.3968253968253968
